facility_id,License_Status,County,Licensed_Capacity,Specialty,Contract,RCS_Region_Unit,Has_Public_Reports,DateAccessed,Medicaid_Contract_Flag,n_inspections,n_investigations,n_enforcement,n_limitations,n_civil_fines,n_stop_placement,n_conditions,n_docs_total,latest_year,latest_enforcement_year,addr_shared_count,phone_shared_count,cluster_id
OR-F00478,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,6,0,0,12,0,0,0,18,,,1,1,
OR-F00741,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,4,2,0,1,0,0,0,5,,,1,1,
OR-F00137,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00749,Open,Washington,4,AFH,Medicaid,,,2026-07-06,Yes,4,0,0,2,0,0,0,6,,,1,1,
OR-F00323,Open,Washington,30,RCF,Medicaid,,,2026-07-06,Yes,4,1,0,31,0,0,0,35,,,1,5,OR029
OR-F00227,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,6,2,1,2,0,0,1,9,,,1,1,
OR-F00293,Open,Washington,72,"RCF, Memory Care",Medicaid,,,2026-07-06,Yes,3,0,1,48,0,0,1,52,,,1,1,
OR-F00028,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00417,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,2,0,0,3,0,0,0,5,,,1,1,
OR-F00018,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,0,0,0,0,0,0,0,0,,,1,1,
OR-F00146,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,1,0,0,0,4,,,1,1,
OR-F00568,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,1,0,0,0,0,0,0,1,,,1,1,
OR-F00406,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,5,1,1,15,0,0,1,21,,,1,1,
OR-F00547,Open,Washington,3,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,4,0,0,0,7,,,1,1,
OR-F00316,Open,Washington,32,"RCF, Memory Care",,,,2026-07-06,No/Unknown,5,1,0,17,0,0,0,22,,,2,2,OR018
OR-F00335,Open,Washington,31,"RCF, Memory Care",Medicaid,,,2026-07-06,Yes,4,1,0,6,0,0,0,10,,,2,2,OR022
OR-F00326,Open,Washington,12,"RCF, Memory Care",,,,2026-07-06,No/Unknown,4,1,1,8,0,0,1,13,,,2,2,OR023
OR-F00660,Open,Washington,44,ALF,Medicaid,,,2026-07-06,Yes,3,0,1,12,0,0,1,16,,,1,2,OR014
OR-F00328,Open,Washington,22,"RCF, Memory Care",Medicaid,,,2026-07-06,Yes,1,0,0,23,0,0,0,24,,,1,2,OR014
OR-F00197,Open,Washington,114,NF,Medicaid,,,2026-07-06,Yes,0,0,0,77,0,0,0,77,,,1,1,
OR-F00590,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,5,0,0,0,8,,,1,1,
OR-F00783,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,2,1,0,0,0,0,0,2,,,1,1,
OR-F00435,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,3,0,0,0,6,,,1,1,
OR-F00411,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,3,0,0,2,0,0,0,5,,,1,1,
OR-F00266,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,2,0,0,1,0,0,0,3,,,1,1,
OR-F00712,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,5,1,19,2,0,0,19,26,,,1,1,
OR-F00706,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,1,0,0,5,0,0,0,6,,,1,1,
OR-F00211,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,2,0,0,0,0,0,0,2,,,1,1,
OR-F00730,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,2,0,0,0,5,,,1,1,
OR-F00543,Open,Washington,2,AFH,Medicaid,,,2026-07-06,Yes,2,0,0,0,0,0,0,2,,,1,1,
OR-F00500,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,4,0,0,0,7,,,1,1,
OR-F00597,Open,Washington,3,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,3,0,0,0,6,,,1,1,
OR-F00719,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,5,2,0,3,0,0,0,8,,,1,1,
OR-F00253,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,2,1,0,0,0,0,0,2,,,1,1,
OR-F00099,Open,Washington,5,AFH,,,,2026-07-06,No/Unknown,0,0,0,0,0,0,0,0,,,1,1,
OR-F00777,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,3,0,0,1,0,0,0,4,,,1,1,
OR-F00780,Open,Washington,5,AFH,Medicaid,,,2026-07-06,Yes,5,1,0,1,0,0,0,6,,,1,1,
